a,slope,slope_se,n_seeds_with_flips
0.5,0.5450890310937037,0.029427222935247934,30
1.0,0.5053843275650219,0.026710551806258948,30
2.0,0.5939132437335163,0.05550877125561474,30
4.0,0.5158240453978634,0.07461567526820116,30
