level,mean_V,mean_V_clamped,std_V,n_runs
1,8.885840406946954e-06,8.885840406946954e-06,2.0626900827531516e-06,10
2,5.937867626926163e-07,5.937867626926163e-07,1.8671855282030456e-06,10
3,2.1256842046568637e-07,2.1256842046568637e-07,1.9122922753395725e-06,10
4,-7.756573538131306e-07,0.0,1.0622456365481152e-06,10
5,3.3374478030090416e-07,3.3374478030090416e-07,7.160193954673738e-07,10
