name,n_nodes,p_f,seed,n_shells,max_shell,mean_degree,shell_sizes
NCP1/p_f=0.35/n=2000/seed=57,2000,0.35,57,10,10,5.726,"{""8"": 66, ""10"": 59, ""9"": 31, ""6"": 82, ""4"": 250, ""1"": 515, ""5"": 172, ""7"": 59, ""2"": 477, ""3"": 289}"
NCP1/p_f=0.35/n=2000/seed=58,2000,0.35,58,11,11,5.605,"{""10"": 14, ""11"": 25, ""9"": 23, ""8"": 62, ""6"": 122, ""5"": 192, ""2"": 454, ""7"": 40, ""4"": 199, ""3"": 331, ""1"": 538}"
NCP1/p_f=0.35/n=2000/seed=59,2000,0.35,59,11,11,6.148,"{""11"": 47, ""6"": 93, ""8"": 40, ""7"": 74, ""10"": 43, ""5"": 194, ""9"": 43, ""4"": 211, ""3"": 332, ""2"": 409, ""1"": 514}"
NCP1/p_f=0.35/n=4000/seed=60,4000,0.35,60,11,11,6.048,"{""11"": 73, ""10"": 25, ""9"": 128, ""8"": 97, ""6"": 260, ""5"": 325, ""2"": 829, ""7"": 157, ""4"": 448, ""3"": 629, ""1"": 1029}"
NCP1/p_f=0.35/n=4000/seed=61,4000,0.35,61,13,13,5.407,"{""13"": 27, ""11"": 26, ""10"": 59, ""7"": 115, ""12"": 2, ""8"": 63, ""5"": 257, ""6"": 227, ""9"": 25, ""4"": 419, ""2"": 964, ""3"": 716, ""1"": 1100}"
NCP1/p_f=0.35/n=4000/seed=62,4000,0.35,62,11,11,5.947,"{""11"": 84, ""9"": 61, ""8"": 146, ""6"": 173, ""10"": 58, ""7"": 147, ""5"": 309, ""4"": 418, ""3"": 622, ""2"": 905, ""1"": 1077}"
NCP1/p_f=0.35/n=4000/seed=63,4000,0.35,63,11,11,5.775,"{""11"": 68, ""8"": 76, ""7"": 154, ""9"": 79, ""10"": 64, ""5"": 289, ""4"": 487, ""3"": 672, ""6"": 160, ""2"": 914, ""1"": 1037}"
NCP1/p_f=0.35/n=4000/seed=64,4000,0.35,64,9,9,5.374,"{""9"": 91, ""8"": 89, ""7"": 195, ""4"": 469, ""6"": 215, ""5"": 237, ""3"": 675, ""2"": 936, ""1"": 1093}"
NCP1/p_f=0.35/n=4000/seed=65,4000,0.35,65,10,10,5.67,"{""10"": 106, ""8"": 75, ""9"": 111, ""5"": 285, ""6"": 198, ""7"": 124, ""3"": 644, ""4"": 479, ""1"": 1094, ""2"": 884}"
NCP1/p_f=0.35/n=4000/seed=66,4000,0.35,66,11,11,5.662,"{""10"": 74, ""11"": 38, ""7"": 123, ""6"": 292, ""9"": 41, ""8"": 79, ""4"": 416, ""5"": 310, ""2"": 914, ""3"": 691, ""1"": 1022}"
NCP1/p_f=0.35/n=4000/seed=67,4000,0.35,67,10,10,5.699,"{""5"": 302, ""10"": 102, ""4"": 417, ""2"": 987, ""6"": 235, ""7"": 128, ""9"": 54, ""8"": 139, ""3"": 573, ""1"": 1063}"
NCP1/p_f=0.35/n=4000/seed=68,4000,0.35,68,11,11,5.663,"{""11"": 57, ""10"": 56, ""8"": 98, ""7"": 156, ""9"": 30, ""6"": 202, ""4"": 482, ""2"": 870, ""5"": 309, ""3"": 702, ""1"": 1038}"
NCP1/p_f=0.35/n=4000/seed=69,4000,0.35,69,11,11,5.814,"{""11"": 63, ""7"": 118, ""9"": 47, ""8"": 156, ""10"": 46, ""4"": 434, ""6"": 236, ""5"": 281, ""3"": 638, ""2"": 918, ""1"": 1063}"
NCP1/p_f=0.35/n=4000/seed=70,4000,0.35,70,9,9,5.441,"{""9"": 107, ""7"": 134, ""8"": 79, ""5"": 307, ""6"": 246, ""4"": 458, ""1"": 1061, ""2"": 945, ""3"": 663}"
NCP1/p_f=0.35/n=4000/seed=71,4000,0.35,71,11,11,5.58,"{""10"": 58, ""6"": 220, ""9"": 100, ""5"": 365, ""7"": 156, ""8"": 85, ""11"": 19, ""2"": 932, ""4"": 350, ""1"": 1123, ""3"": 592}"
NCP1/p_f=0.35/n=4000/seed=72,4000,0.35,72,10,10,5.566,"{""10"": 42, ""8"": 109, ""7"": 177, ""9"": 69, ""5"": 282, ""4"": 415, ""6"": 208, ""3"": 705, ""2"": 939, ""1"": 1054}"
NCP1/p_f=0.35/n=4000/seed=73,4000,0.35,73,9,9,5.224,"{""9"": 86, ""8"": 71, ""6"": 196, ""7"": 111, ""3"": 661, ""5"": 320, ""4"": 530, ""2"": 964, ""1"": 1061}"
NCP1/p_f=0.35/n=4000/seed=74,4000,0.35,74,11,11,5.691,"{""11"": 71, ""10"": 33, ""9"": 23, ""8"": 154, ""2"": 893, ""5"": 289, ""7"": 133, ""6"": 232, ""4"": 443, ""3"": 650, ""1"": 1079}"
