name,n_nodes,p_f,seed,n_shells,max_shell,mean_degree,shell_sizes
NCP1/p_f=0.37/n=2000/seed=132,2000,0.37,132,14,14,6.72,"{""14"": 36, ""7"": 54, ""13"": 42, ""12"": 13, ""10"": 42, ""8"": 49, ""11"": 38, ""9"": 31, ""4"": 227, ""6"": 67, ""5"": 137, ""1"": 523, ""3"": 313, ""2"": 428}"
NCP1/p_f=0.37/n=2000/seed=133,2000,0.37,133,16,16,7.315,"{""13"": 4, ""15"": 14, ""16"": 41, ""14"": 42, ""10"": 23, ""12"": 18, ""11"": 24, ""5"": 203, ""8"": 45, ""1"": 446, ""7"": 85, ""6"": 91, ""2"": 441, ""9"": 34, ""4"": 194, ""3"": 295}"
NCP1/p_f=0.37/n=2000/seed=134,2000,0.37,134,14,14,7.041,"{""14"": 70, ""10"": 19, ""13"": 23, ""11"": 49, ""9"": 37, ""12"": 19, ""8"": 47, ""5"": 126, ""4"": 209, ""6"": 98, ""7"": 67, ""3"": 330, ""2"": 416, ""1"": 490}"
NCP1/p_f=0.37/n=2000/seed=135,2000,0.37,135,14,14,6.849,"{""13"": 33, ""14"": 27, ""10"": 34, ""11"": 28, ""5"": 130, ""8"": 77, ""9"": 59, ""6"": 76, ""3"": 358, ""4"": 179, ""7"": 93, ""1"": 487, ""2"": 412, ""12"": 7}"
NCP1/p_f=0.37/n=2000/seed=136,2000,0.37,136,12,12,6.692,"{""12"": 63, ""11"": 15, ""2"": 412, ""9"": 58, ""5"": 141, ""7"": 90, ""10"": 64, ""3"": 312, ""8"": 31, ""6"": 88, ""4"": 209, ""1"": 517}"
NCP1/p_f=0.37/n=2000/seed=137,2000,0.37,137,14,14,6.507,"{""14"": 73, ""8"": 70, ""7"": 62, ""5"": 171, ""4"": 195, ""9"": 35, ""12"": 12, ""6"": 87, ""3"": 350, ""13"": 7, ""10"": 13, ""1"": 511, ""2"": 410, ""11"": 4}"
NCP1/p_f=0.37/n=2000/seed=138,2000,0.37,138,16,16,6.946,"{""16"": 35, ""12"": 10, ""14"": 35, ""5"": 163, ""13"": 13, ""2"": 432, ""15"": 14, ""9"": 30, ""6"": 115, ""7"": 46, ""11"": 18, ""10"": 16, ""4"": 218, ""8"": 67, ""3"": 295, ""1"": 493}"
NCP1/p_f=0.37/n=2000/seed=139,2000,0.37,139,17,17,6.809,"{""17"": 49, ""15"": 8, ""12"": 8, ""13"": 10, ""9"": 34, ""11"": 9, ""7"": 105, ""6"": 142, ""1"": 464, ""10"": 22, ""14"": 5, ""8"": 58, ""16"": 2, ""5"": 162, ""3"": 301, ""4"": 195, ""2"": 426}"
NCP1/p_f=0.37/n=4000/seed=140,4000,0.37,140,15,15,6.98,"{""10"": 68, ""15"": 36, ""14"": 45, ""13"": 59, ""7"": 187, ""8"": 122, ""11"": 52, ""5"": 266, ""9"": 92, ""6"": 181, ""2"": 866, ""12"": 31, ""4"": 451, ""3"": 598, ""1"": 946}"
NCP1/p_f=0.37/n=4000/seed=141,4000,0.37,141,12,12,6.784,"{""12"": 140, ""7"": 162, ""11"": 105, ""9"": 84, ""10"": 53, ""8"": 150, ""5"": 245, ""6"": 192, ""2"": 870, ""4"": 403, ""3"": 586, ""1"": 1010}"
NCP1/p_f=0.37/n=4000/seed=142,4000,0.37,142,14,14,6.92,"{""14"": 111, ""13"": 21, ""11"": 47, ""12"": 33, ""8"": 89, ""10"": 69, ""6"": 297, ""9"": 93, ""7"": 143, ""3"": 585, ""2"": 872, ""1"": 925, ""5"": 295, ""4"": 420}"
NCP1/p_f=0.37/n=4000/seed=143,4000,0.37,143,16,16,6.973,"{""16"": 47, ""15"": 42, ""14"": 11, ""13"": 59, ""12"": 33, ""6"": 255, ""11"": 22, ""8"": 92, ""5"": 308, ""7"": 155, ""9"": 107, ""4"": 415, ""3"": 592, ""10"": 39, ""2"": 856, ""1"": 967}"
NCP1/p_f=0.37/n=4000/seed=144,4000,0.37,144,14,14,6.947,"{""14"": 40, ""12"": 41, ""13"": 68, ""10"": 148, ""5"": 281, ""9"": 67, ""11"": 76, ""7"": 125, ""8"": 83, ""6"": 222, ""3"": 578, ""4"": 390, ""1"": 962, ""2"": 919}"
NCP1/p_f=0.37/n=4000/seed=145,4000,0.37,145,15,15,7.247,"{""15"": 108, ""14"": 18, ""6"": 207, ""13"": 66, ""12"": 33, ""9"": 100, ""10"": 62, ""8"": 154, ""11"": 50, ""4"": 417, ""5"": 297, ""2"": 828, ""7"": 94, ""3"": 611, ""1"": 955}"
NCP1/p_f=0.37/n=4000/seed=146,4000,0.37,146,14,14,7.019,"{""13"": 66, ""14"": 48, ""12"": 55, ""7"": 185, ""11"": 60, ""10"": 99, ""9"": 87, ""3"": 571, ""4"": 404, ""5"": 261, ""8"": 95, ""6"": 211, ""1"": 953, ""2"": 905}"
NCP1/p_f=0.37/n=4000/seed=147,4000,0.37,147,14,14,7.08,"{""14"": 108, ""13"": 85, ""10"": 67, ""11"": 59, ""12"": 57, ""5"": 316, ""9"": 89, ""4"": 417, ""3"": 607, ""7"": 80, ""6"": 184, ""8"": 77, ""2"": 818, ""1"": 1036}"
NCP1/p_f=0.37/n=4000/seed=148,4000,0.37,148,13,13,6.814,"{""13"": 41, ""12"": 102, ""11"": 100, ""9"": 84, ""10"": 86, ""7"": 176, ""8"": 119, ""6"": 159, ""5"": 280, ""2"": 894, ""4"": 369, ""1"": 976, ""3"": 614}"
NCP1/p_f=0.37/n=4000/seed=149,4000,0.37,149,13,13,6.937,"{""13"": 111, ""12"": 69, ""10"": 124, ""11"": 38, ""6"": 183, ""9"": 70, ""5"": 309, ""8"": 95, ""4"": 422, ""7"": 152, ""3"": 644, ""2"": 845, ""1"": 938}"
NCP1/p_f=0.37/n=4000/seed=150,4000,0.37,150,11,11,6.522,"{""11"": 134, ""10"": 99, ""8"": 99, ""5"": 358, ""6"": 246, ""7"": 138, ""4"": 516, ""9"": 75, ""3"": 614, ""2"": 809, ""1"": 912}"
NCP1/p_f=0.37/n=4000/seed=151,4000,0.37,151,15,15,7.263,"{""15"": 133, ""7"": 152, ""14"": 33, ""9"": 99, ""13"": 32, ""4"": 409, ""5"": 341, ""10"": 86, ""8"": 120, ""11"": 36, ""12"": 22, ""2"": 848, ""6"": 150, ""3"": 618, ""1"": 921}"
NCP1/p_f=0.37/n=4000/seed=152,4000,0.37,152,14,14,6.861,"{""14"": 100, ""13"": 21, ""11"": 54, ""10"": 47, ""12"": 61, ""9"": 85, ""7"": 122, ""5"": 239, ""4"": 450, ""8"": 165, ""3"": 632, ""6"": 192, ""2"": 842, ""1"": 990}"
NCP1/p_f=0.37/n=4000/seed=153,4000,0.37,153,16,16,7.215,"{""16"": 58, ""13"": 38, ""4"": 412, ""11"": 84, ""6"": 210, ""15"": 39, ""9"": 63, ""8"": 173, ""12"": 29, ""7"": 109, ""5"": 314, ""14"": 20, ""3"": 623, ""10"": 61, ""2"": 785, ""1"": 982}"
NCP1/p_f=0.37/n=4000/seed=154,4000,0.37,154,13,13,7.064,"{""13"": 42, ""12"": 67, ""10"": 150, ""6"": 262, ""5"": 332, ""7"": 150, ""11"": 57, ""9"": 96, ""8"": 105, ""2"": 814, ""4"": 438, ""3"": 544, ""1"": 943}"
NCP1/p_f=0.37/n=4000/seed=155,4000,0.37,155,14,14,7.013,"{""14"": 99, ""12"": 28, ""13"": 95, ""10"": 47, ""11"": 66, ""7"": 181, ""8"": 86, ""9"": 68, ""5"": 296, ""4"": 381, ""6"": 211, ""2"": 873, ""1"": 971, ""3"": 598}"
NCP1/p_f=0.37/n=4000/seed=156,4000,0.37,156,14,14,6.785,"{""14"": 65, ""13"": 53, ""11"": 86, ""8"": 106, ""10"": 72, ""9"": 109, ""6"": 170, ""4"": 420, ""5"": 276, ""12"": 17, ""7"": 157, ""2"": 893, ""1"": 978, ""3"": 598}"
NCP1/p_f=0.37/n=4000/seed=157,4000,0.37,157,19,19,7.224,"{""19"": 52, ""16"": 10, ""18"": 43, ""15"": 21, ""12"": 48, ""13"": 18, ""7"": 129, ""5"": 264, ""9"": 50, ""10"": 45, ""8"": 135, ""17"": 6, ""6"": 280, ""11"": 51, ""4"": 405, ""3"": 613, ""2"": 862, ""1"": 955, ""14"": 13}"
NCP1/p_f=0.37/n=4000/seed=158,4000,0.37,158,13,13,6.624,"{""13"": 82, ""12"": 55, ""10"": 54, ""9"": 113, ""7"": 137, ""4"": 388, ""5"": 314, ""11"": 61, ""6"": 189, ""3"": 584, ""8"": 103, ""1"": 1035, ""2"": 885}"
NCP1/p_f=0.37/n=4000/seed=159,4000,0.37,159,13,13,7.183,"{""13"": 84, ""12"": 137, ""10"": 112, ""11"": 69, ""4"": 403, ""5"": 340, ""8"": 79, ""7"": 127, ""9"": 62, ""6"": 218, ""3"": 579, ""2"": 829, ""1"": 961}"
NCP1/p_f=0.39/n=500/seed=160,500,0.39,160,16,16,8.716,"{""16"": 30, ""12"": 5, ""5"": 31, ""15"": 18, ""13"": 7, ""4"": 43, ""11"": 4, ""3"": 65, ""14"": 13, ""7"": 13, ""10"": 5, ""9"": 11, ""6"": 17, ""1"": 121, ""8"": 11, ""2"": 106}"
NCP1/p_f=0.39/n=500/seed=161,500,0.39,161,18,18,9.552,"{""18"": 32, ""13"": 16, ""15"": 10, ""16"": 3, ""7"": 18, ""12"": 4, ""6"": 30, ""11"": 5, ""10"": 9, ""14"": 11, ""2"": 87, ""9"": 17, ""3"": 81, ""8"": 9, ""4"": 54, ""5"": 20, ""1"": 94}"
NCP1/p_f=0.39/n=500/seed=162,500,0.39,162,15,15,8.112,"{""15"": 44, ""10"": 6, ""8"": 13, ""11"": 9, ""5"": 46, ""7"": 12, ""6"": 32, ""13"": 2, ""4"": 61, ""3"": 86, ""2"": 85, ""9"": 9, ""1"": 92, ""12"": 1, ""14"": 2}"
NCP1/p_f=0.39/n=500/seed=163,500,0.39,163,13,13,8.436,"{""13"": 23, ""12"": 18, ""9"": 6, ""11"": 13, ""8"": 25, ""10"": 25, ""6"": 36, ""5"": 28, ""3"": 71, ""7"": 22, ""1"": 107, ""4"": 57, ""2"": 69}"
NCP1/p_f=0.39/n=500/seed=164,500,0.39,164,13,13,8.764,"{""11"": 10, ""13"": 48, ""8"": 12, ""10"": 10, ""12"": 8, ""7"": 46, ""6"": 32, ""3"": 43, ""4"": 43, ""9"": 12, ""5"": 34, ""2"": 88, ""1"": 114}"
NCP1/p_f=0.39/n=500/seed=165,500,0.39,165,10,10,7.676,"{""10"": 38, ""9"": 40, ""7"": 51, ""8"": 9, ""6"": 23, ""5"": 33, ""4"": 67, ""3"": 52, ""2"": 78, ""1"": 109}"
NCP1/p_f=0.39/n=500/seed=166,500,0.39,166,11,11,7.78,"{""11"": 45, ""9"": 37, ""10"": 8, ""8"": 19, ""2"": 93, ""4"": 51, ""6"": 21, ""1"": 104, ""5"": 38, ""3"": 74, ""7"": 10}"
NCP1/p_f=0.39/n=500/seed=167,500,0.39,167,16,16,9.004,"{""16"": 21, ""11"": 9, ""6"": 38, ""15"": 2, ""13"": 17, ""12"": 9, ""9"": 12, ""10"": 15, ""3"": 53, ""14"": 11, ""5"": 29, ""8"": 25, ""4"": 62, ""7"": 17, ""2"": 70, ""1"": 110}"
NCP1/p_f=0.39/n=500/seed=168,500,0.39,168,15,15,7.888,"{""15"": 26, ""13"": 12, ""12"": 9, ""5"": 35, ""11"": 8, ""10"": 12, ""4"": 27, ""6"": 27, ""9"": 6, ""8"": 12, ""7"": 20, ""1"": 115, ""3"": 75, ""2"": 111, ""14"": 5}"
NCP1/p_f=0.39/n=500/seed=169,500,0.39,169,15,15,9.148,"{""15"": 38, ""12"": 19, ""11"": 23, ""6"": 30, ""10"": 12, ""13"": 4, ""4"": 39, ""3"": 69, ""2"": 95, ""8"": 9, ""14"": 5, ""1"": 109, ""5"": 20, ""9"": 14, ""7"": 14}"
NCP1/p_f=0.39/n=500/seed=170,500,0.39,170,11,11,7.984,"{""11"": 53, ""10"": 18, ""6"": 35, ""4"": 36, ""3"": 44, ""9"": 12, ""8"": 23, ""5"": 44, ""7"": 29, ""2"": 104, ""1"": 102}"
NCP1/p_f=0.39/n=500/seed=171,500,0.39,171,11,11,7.476,"{""11"": 35, ""4"": 69, ""10"": 24, ""8"": 10, ""5"": 46, ""9"": 19, ""2"": 87, ""7"": 22, ""3"": 65, ""6"": 16, ""1"": 107}"
NCP1/p_f=0.39/n=500/seed=172,500,0.39,172,21,21,10.948,"{""21"": 46, ""16"": 7, ""17"": 12, ""14"": 6, ""4"": 43, ""13"": 12, ""11"": 9, ""12"": 6, ""9"": 15, ""3"": 50, ""6"": 17, ""7"": 18, ""19"": 1, ""15"": 1, ""10"": 9, ""8"": 13, ""18"": 1, ""5"": 35, ""1"": 101, ""2"": 98}"
NCP1/p_f=0.39/n=500/seed=173,500,0.39,173,15,15,8.332,"{""15"": 41, ""12"": 5, ""5"": 44, ""6"": 14, ""4"": 49, ""11"": 22, ""14"": 8, ""3"": 69, ""10"": 8, ""7"": 12, ""9"": 8, ""8"": 8, ""2"": 103, ""1"": 109}"
NCP1/p_f=0.39/n=500/seed=174,500,0.39,174,13,13,9.136,"{""13"": 52, ""6"": 37, ""9"": 27, ""11"": 7, ""2"": 68, ""12"": 7, ""10"": 3, ""5"": 27, ""7"": 39, ""4"": 49, ""8"": 15, ""3"": 71, ""1"": 98}"
NCP1/p_f=0.39/n=500/seed=175,500,0.39,175,15,15,9.4,"{""12"": 13, ""15"": 41, ""5"": 31, ""3"": 61, ""8"": 15, ""13"": 11, ""10"": 11, ""9"": 12, ""2"": 89, ""11"": 13, ""7"": 24, ""6"": 38, ""4"": 35, ""14"": 5, ""1"": 101}"
NCP1/p_f=0.39/n=500/seed=176,500,0.39,176,12,12,8.136,"{""12"": 37, ""11"": 12, ""8"": 15, ""9"": 29, ""6"": 26, ""10"": 7, ""4"": 37, ""2"": 88, ""3"": 76, ""7"": 33, ""5"": 40, ""1"": 100}"
NCP1/p_f=0.39/n=500/seed=177,500,0.39,177,12,12,8.92,"{""12"": 54, ""6"": 28, ""9"": 13, ""8"": 19, ""11"": 16, ""10"": 18, ""7"": 26, ""3"": 55, ""4"": 39, ""1"": 95, ""5"": 38, ""2"": 99}"
NCP1/p_f=0.39/n=500/seed=178,500,0.39,178,11,11,7.76,"{""11"": 62, ""10"": 24, ""9"": 7, ""8"": 11, ""4"": 44, ""5"": 35, ""6"": 20, ""7"": 20, ""2"": 97, ""3"": 64, ""1"": 116}"
NCP1/p_f=0.39/n=500/seed=179,500,0.39,179,11,11,7.776,"{""11"": 33, ""10"": 14, ""9"": 35, ""8"": 21, ""6"": 37, ""3"": 42, ""5"": 37, ""2"": 111, ""7"": 11, ""4"": 47, ""1"": 112}"
NCP1/p_f=0.39/n=1000/seed=180,1000,0.39,180,20,20,10.374,"{""20"": 53, ""19"": 29, ""18"": 8, ""15"": 8, ""1"": 211, ""4"": 73, ""2"": 178, ""8"": 25, ""11"": 18, ""7"": 31, ""12"": 18, ""5"": 80, ""6"": 52, ""13"": 18, ""9"": 23, ""3"": 128, ""17"": 7, ""10"": 26, ""14"": 10, ""16"": 4}"
NCP1/p_f=0.39/n=1000/seed=181,1000,0.39,181,14,14,8.078,"{""12"": 33, ""14"": 53, ""13"": 10, ""11"": 14, ""9"": 34, ""8"": 31, ""4"": 98, ""10"": 12, ""3"": 156, ""7"": 27, ""2"": 182, ""6"": 42, ""5"": 90, ""1"": 218}"
NCP1/p_f=0.39/n=1000/seed=182,1000,0.39,182,13,13,8.042,"{""13"": 43, ""12"": 38, ""11"": 15, ""10"": 16, ""9"": 47, ""7"": 35, ""2"": 165, ""5"": 88, ""8"": 32, ""6"": 60, ""4"": 91, ""3"": 134, ""1"": 236}"
NCP1/p_f=0.39/n=1000/seed=183,1000,0.39,183,16,16,8.638,"{""14"": 24, ""16"": 30, ""6"": 33, ""13"": 17, ""11"": 21, ""15"": 3, ""9"": 49, ""12"": 22, ""10"": 26, ""8"": 49, ""4"": 97, ""3"": 129, ""5"": 56, ""7"": 28, ""2"": 182, ""1"": 234}"
NCP1/p_f=0.39/n=1000/seed=184,1000,0.39,184,16,16,8.8,"{""16"": 57, ""7"": 29, ""13"": 26, ""11"": 34, ""12"": 7, ""9"": 16, ""10"": 35, ""5"": 77, ""6"": 50, ""15"": 3, ""4"": 109, ""2"": 188, ""14"": 5, ""8"": 40, ""3"": 125, ""1"": 199}"
NCP1/p_f=0.39/n=1000/seed=185,1000,0.39,185,18,18,9.184,"{""18"": 28, ""17"": 5, ""15"": 18, ""16"": 29, ""3"": 115, ""11"": 14, ""14"": 12, ""5"": 50, ""6"": 48, ""10"": 40, ""9"": 43, ""4"": 108, ""13"": 15, ""12"": 24, ""7"": 31, ""2"": 175, ""8"": 18, ""1"": 227}"
NCP1/p_f=0.39/n=1000/seed=186,1000,0.39,186,18,18,9.396,"{""15"": 7, ""18"": 56, ""17"": 9, ""13"": 25, ""10"": 26, ""7"": 43, ""8"": 45, ""6"": 34, ""9"": 34, ""11"": 21, ""16"": 9, ""14"": 3, ""5"": 78, ""4"": 81, ""3"": 121, ""12"": 5, ""2"": 174, ""1"": 229}"
NCP1/p_f=0.39/n=1000/seed=187,1000,0.39,187,20,20,10.46,"{""20"": 56, ""18"": 2, ""15"": 12, ""16"": 17, ""12"": 16, ""19"": 5, ""10"": 31, ""2"": 182, ""11"": 24, ""7"": 52, ""13"": 25, ""6"": 49, ""9"": 35, ""8"": 38, ""4"": 68, ""5"": 66, ""3"": 127, ""1"": 188, ""14"": 4, ""17"": 3}"
NCP1/p_f=0.39/n=1000/seed=188,1000,0.39,188,16,16,9.118,"{""16"": 49, ""10"": 13, ""13"": 28, ""11"": 22, ""12"": 23, ""9"": 24, ""14"": 19, ""5"": 101, ""15"": 14, ""6"": 53, ""7"": 41, ""8"": 25, ""4"": 80, ""3"": 93, ""2"": 215, ""1"": 200}"
NCP1/p_f=0.39/n=1000/seed=189,1000,0.39,189,15,15,8.242,"{""15"": 25, ""14"": 26, ""13"": 27, ""12"": 13, ""11"": 26, ""5"": 64, ""9"": 37, ""3"": 145, ""8"": 37, ""10"": 21, ""4"": 129, ""6"": 30, ""7"": 27, ""2"": 176, ""1"": 217}"
NCP1/p_f=0.39/n=1000/seed=190,1000,0.39,190,17,17,8.902,"{""17"": 50, ""15"": 25, ""9"": 15, ""13"": 10, ""7"": 44, ""12"": 13, ""10"": 20, ""2"": 199, ""8"": 16, ""11"": 15, ""6"": 52, ""14"": 15, ""16"": 7, ""5"": 86, ""3"": 107, ""4"": 111, ""1"": 215}"
NCP1/p_f=0.39/n=1000/seed=191,1000,0.39,191,19,19,8.708,"{""19"": 47, ""17"": 11, ""16"": 14, ""12"": 17, ""18"": 7, ""13"": 14, ""15"": 8, ""10"": 11, ""8"": 30, ""5"": 69, ""14"": 5, ""7"": 18, ""11"": 7, ""3"": 130, ""4"": 103, ""6"": 48, ""2"": 191, ""9"": 22, ""1"": 248}"
NCP1/p_f=0.39/n=1000/seed=192,1000,0.39,192,15,15,8.77,"{""15"": 30, ""14"": 46, ""9"": 24, ""12"": 32, ""10"": 18, ""7"": 25, ""11"": 32, ""13"": 13, ""8"": 30, ""6"": 47, ""4"": 85, ""5"": 64, ""3"": 131, ""2"": 197, ""1"": 226}"
NCP1/p_f=0.39/n=1000/seed=193,1000,0.39,193,23,23,10.446,"{""21"": 7, ""23"": 53, ""15"": 15, ""10"": 22, ""19"": 6, ""12"": 20, ""16"": 12, ""22"": 3, ""8"": 36, ""6"": 65, ""5"": 53, ""14"": 17, ""7"": 20, ""1"": 222, ""4"": 91, ""13"": 9, ""18"": 7, ""11"": 8, ""9"": 24, ""3"": 132, ""17"": 6, ""2"": 169, ""20"": 3}"
NCP1/p_f=0.39/n=1000/seed=194,1000,0.39,194,19,19,9.16,"{""19"": 49, ""18"": 20, ""15"": 10, ""12"": 10, ""14"": 7, ""10"": 10, ""4"": 78, ""13"": 5, ""9"": 20, ""7"": 42, ""16"": 10, ""8"": 37, ""3"": 127, ""17"": 3, ""6"": 63, ""11"": 17, ""5"": 57, ""1"": 210, ""2"": 225}"
NCP1/p_f=0.39/n=1000/seed=195,1000,0.39,195,20,20,10.368,"{""20"": 79, ""14"": 15, ""9"": 16, ""11"": 24, ""7"": 30, ""6"": 57, ""10"": 15, ""19"": 4, ""16"": 7, ""17"": 3, ""12"": 18, ""3"": 128, ""5"": 60, ""4"": 88, ""13"": 7, ""8"": 64, ""2"": 162, ""18"": 1, ""15"": 9, ""1"": 213}"
NCP1/p_f=0.39/n=1000/seed=196,1000,0.39,196,19,19,10.216,"{""19"": 62, ""12"": 13, ""13"": 18, ""17"": 24, ""16"": 10, ""8"": 26, ""11"": 21, ""10"": 18, ""18"": 11, ""2"": 210, ""9"": 23, ""15"": 12, ""7"": 37, ""5"": 63, ""3"": 127, ""6"": 57, ""1"": 203, ""14"": 5, ""4"": 60}"
NCP1/p_f=0.39/n=1000/seed=197,1000,0.39,197,18,18,8.95,"{""18"": 46, ""17"": 16, ""14"": 10, ""13"": 14, ""7"": 24, ""8"": 27, ""11"": 15, ""9"": 24, ""10"": 11, ""4"": 113, ""5"": 88, ""3"": 99, ""16"": 11, ""15"": 4, ""12"": 19, ""6"": 54, ""2"": 199, ""1"": 226}"
NCP1/p_f=0.39/n=1000/seed=198,1000,0.39,198,17,17,8.536,"{""17"": 43, ""9"": 20, ""16"": 6, ""8"": 30, ""13"": 20, ""12"": 9, ""10"": 26, ""7"": 38, ""15"": 11, ""11"": 30, ""5"": 91, ""4"": 93, ""14"": 5, ""3"": 126, ""6"": 39, ""2"": 178, ""1"": 235}"
NCP1/p_f=0.39/n=1000/seed=199,1000,0.39,199,18,18,9.426,"{""17"": 10, ""13"": 16, ""18"": 56, ""16"": 16, ""12"": 10, ""9"": 13, ""7"": 41, ""11"": 13, ""8"": 37, ""6"": 53, ""5"": 77, ""15"": 5, ""14"": 11, ""10"": 36, ""4"": 99, ""3"": 142, ""1"": 189, ""2"": 176}"
NCP1/p_f=0.39/n=2000/seed=200,2000,0.39,200,20,20,8.996,"{""20"": 52, ""19"": 4, ""12"": 24, ""17"": 34, ""18"": 27, ""11"": 36, ""16"": 8, ""3"": 303, ""13"": 28, ""10"": 19, ""14"": 44, ""8"": 52, ""15"": 12, ""7"": 70, ""5"": 131, ""4"": 225, ""9"": 46, ""2"": 376, ""6"": 82, ""1"": 427}"
NCP1/p_f=0.39/n=2000/seed=201,2000,0.39,201,18,18,8.506,"{""18"": 50, ""14"": 37, ""16"": 11, ""9"": 49, ""7"": 119, ""12"": 18, ""11"": 48, ""4"": 219, ""10"": 54, ""15"": 14, ""13"": 25, ""5"": 104, ""8"": 72, ""6"": 90, ""3"": 260, ""17"": 10, ""2"": 373, ""1"": 447}"
NCP1/p_f=0.39/n=2000/seed=202,2000,0.39,202,21,21,9.805,"{""21"": 70, ""20"": 24, ""17"": 13, ""18"": 10, ""16"": 18, ""10"": 57, ""14"": 34, ""12"": 19, ""13"": 29, ""19"": 28, ""7"": 86, ""11"": 34, ""15"": 9, ""6"": 96, ""8"": 42, ""5"": 147, ""3"": 250, ""2"": 358, ""9"": 45, ""4"": 169, ""1"": 462}"
NCP1/p_f=0.39/n=2000/seed=203,2000,0.39,203,17,17,8.676,"{""17"": 68, ""15"": 38, ""14"": 43, ""9"": 68, ""8"": 48, ""16"": 20, ""6"": 90, ""13"": 24, ""10"": 26, ""4"": 203, ""3"": 252, ""12"": 21, ""11"": 28, ""7"": 72, ""5"": 163, ""2"": 389, ""1"": 447}"
NCP1/p_f=0.39/n=2000/seed=204,2000,0.39,204,25,25,9.716,"{""25"": 50, ""22"": 39, ""18"": 9, ""14"": 26, ""15"": 13, ""13"": 20, ""17"": 8, ""5"": 137, ""12"": 27, ""16"": 18, ""9"": 42, ""7"": 73, ""6"": 110, ""4"": 212, ""11"": 28, ""2"": 408, ""20"": 12, ""8"": 55, ""19"": 18, ""10"": 22, ""3"": 269, ""23"": 2, ""1"": 398, ""21"": 4}"
NCP1/p_f=0.39/n=2000/seed=205,2000,0.39,205,21,21,9.061,"{""20"": 27, ""21"": 35, ""18"": 34, ""10"": 55, ""14"": 27, ""19"": 7, ""15"": 14, ""16"": 19, ""11"": 16, ""5"": 145, ""9"": 46, ""6"": 94, ""8"": 79, ""13"": 19, ""3"": 284, ""7"": 79, ""12"": 14, ""17"": 10, ""4"": 188, ""2"": 367, ""1"": 441}"
NCP1/p_f=0.39/n=2000/seed=206,2000,0.39,206,21,21,9.061,"{""21"": 91, ""5"": 145, ""9"": 52, ""4"": 199, ""16"": 17, ""8"": 52, ""19"": 24, ""10"": 38, ""13"": 13, ""7"": 62, ""12"": 21, ""18"": 6, ""15"": 15, ""11"": 11, ""6"": 82, ""14"": 10, ""20"": 17, ""17"": 7, ""3"": 269, ""2"": 386, ""1"": 483}"
NCP1/p_f=0.39/n=2000/seed=207,2000,0.39,207,24,24,9.91,"{""24"": 70, ""22"": 24, ""16"": 9, ""18"": 26, ""11"": 45, ""21"": 6, ""7"": 76, ""13"": 14, ""4"": 170, ""15"": 20, ""10"": 42, ""3"": 262, ""12"": 15, ""8"": 62, ""19"": 4, ""5"": 140, ""9"": 46, ""14"": 20, ""20"": 8, ""6"": 77, ""23"": 11, ""2"": 407, ""1"": 441, ""17"": 5}"
NCP1/p_f=0.39/n=2000/seed=208,2000,0.39,208,20,20,9.002,"{""20"": 71, ""19"": 13, ""13"": 24, ""15"": 25, ""17"": 12, ""14"": 28, ""6"": 129, ""7"": 101, ""9"": 41, ""12"": 23, ""11"": 27, ""8"": 41, ""10"": 46, ""3"": 262, ""5"": 134, ""16"": 8, ""18"": 13, ""4"": 192, ""2"": 352, ""1"": 458}"
NCP1/p_f=0.39/n=2000/seed=209,2000,0.39,209,21,21,9.023,"{""21"": 52, ""20"": 11, ""17"": 11, ""15"": 13, ""18"": 22, ""14"": 17, ""19"": 27, ""7"": 58, ""16"": 17, ""13"": 27, ""11"": 32, ""10"": 58, ""4"": 211, ""9"": 45, ""5"": 116, ""6"": 87, ""3"": 287, ""8"": 49, ""12"": 12, ""2"": 372, ""1"": 476}"
NCP1/p_f=0.39/n=2000/seed=210,2000,0.39,210,24,24,9.863,"{""24"": 73, ""14"": 27, ""13"": 26, ""17"": 20, ""15"": 17, ""21"": 5, ""8"": 75, ""3"": 304, ""22"": 7, ""23"": 7, ""18"": 8, ""9"": 30, ""7"": 79, ""16"": 15, ""10"": 29, ""4"": 201, ""11"": 28, ""5"": 123, ""20"": 12, ""2"": 388, ""6"": 92, ""12"": 34, ""1"": 395, ""19"": 5}"
NCP1/p_f=0.39/n=2000/seed=211,2000,0.39,211,25,25,10.909,"{""25"": 64, ""16"": 38, ""22"": 28, ""14"": 22, ""17"": 14, ""23"": 7, ""18"": 17, ""21"": 32, ""20"": 16, ""11"": 35, ""1"": 457, ""12"": 16, ""7"": 42, ""8"": 75, ""10"": 31, ""2"": 378, ""13"": 27, ""9"": 44, ""15"": 17, ""5"": 135, ""19"": 7, ""4"": 163, ""24"": 12, ""6"": 78, ""3"": 245}"
NCP1/p_f=0.39/n=2000/seed=212,2000,0.39,212,21,21,8.982,"{""21"": 75, ""17"": 12, ""15"": 18, ""19"": 20, ""11"": 27, ""20"": 8, ""10"": 34, ""13"": 18, ""14"": 22, ""9"": 46, ""2"": 414, ""16"": 7, ""8"": 55, ""7"": 76, ""4"": 211, ""6"": 90, ""5"": 140, ""3"": 242, ""18"": 11, ""1"": 458, ""12"": 16}"
