lr,seed,a,b,regime,ell_c,source_leaf,target_leaf,distance_d,t_flip,warmup_ok,depth,leaf_size,p,d_param
0.005,2,0.5,0.01,I,5,0,11,4,163,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,12,4,150,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,13,4,156,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,14,4,151,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,15,4,151,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,16,5,189,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,17,5,190,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,18,5,190,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,19,5,187,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,20,5,189,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,21,5,188,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,22,5,187,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,23,5,187,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,24,5,188,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,25,5,191,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,26,5,190,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,27,5,187,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,28,5,193,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,29,5,194,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,30,5,195,True,5,4,4.0,1
0.005,2,0.5,0.01,I,5,0,31,5,195,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,1,1,48,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,2,2,128,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,3,2,124,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,4,3,151,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,5,3,155,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,6,3,153,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,7,3,154,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,8,4,166,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,9,4,165,True,5,4,4.0,1
0.01,0,0.5,0.01,I,5,0,10,4,164,True,5,4,4.0,1
