lr,seed,source_leaf,target_leaf,distance_d,t_50,perturbation_norm,source_peak_shift,threshold,has_direct_edge,depth,leaf_size,p
0.01,0,0,1,1,1,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,2,2,1,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,3,2,2,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,4,3,7,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,5,3,11,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,6,3,8,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,7,3,7,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,8,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,9,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,10,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,11,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,12,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,13,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,14,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,15,4,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,16,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,17,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,18,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,19,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,20,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,21,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,22,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,23,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,24,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,25,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,26,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,27,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,True,5,4,4.0
0.01,0,0,28,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,29,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,30,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,0,0,31,5,,1.3483081758022308,0.6123549342155457,0.06123549342155457,False,5,4,4.0
0.01,1,0,1,1,1,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,2,2,1,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,3,2,1,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,4,3,1,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,5,3,2,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,6,3,2,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,7,3,1,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,8,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,9,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,True,5,4,4.0
0.01,1,0,10,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,11,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,12,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,13,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,14,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,15,4,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,16,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,17,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,18,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,19,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,20,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,21,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,22,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,23,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,24,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,25,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,26,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,27,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,28,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,29,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,30,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,1,0,31,5,,1.3941538333892822,0.4545295238494873,0.04545295238494873,False,5,4,4.0
0.01,2,0,1,1,1,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,2,2,1,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,3,2,1,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,4,3,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,5,3,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,6,3,17,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,7,3,9,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,8,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,9,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,10,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,11,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,12,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,13,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,14,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,15,4,,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,16,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,17,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,18,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,19,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,True,5,4,4.0
0.01,2,0,20,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,21,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,22,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,23,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,24,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,25,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,26,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,27,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,28,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,29,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,30,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.01,2,0,31,5,,1.3861821591854095,0.5125710964202881,0.051257109642028814,False,5,4,4.0
0.05,0,0,1,1,1,1.5565992891788483,0.6518661975860596,0.06518661975860596,True,5,4,4.0
